skill_a,skill_b,cooccur,meaning,relation
GraphQL,JavaScript,0.172,0.467,complements
Agile / Scrum,Machine Learning,0.172,0.195,complements
Bash,Ruby,0.172,0.454,complements
AWS,GitHub,0.172,0.284,complements
DevOps,Go,0.172,0.451,complements
HTML,MySQL,0.171,0.267,complements
Airflow,Dagster,0.171,0.817,substitutes
Cassandra,Python,0.171,0.201,complements
MySQL,React,0.171,0.277,complements
Elasticsearch,MongoDB,0.171,0.443,complements
MySQL,Scala,0.171,0.341,complements
ETL,Informatica,0.171,0.337,complements
AWS,Redshift,0.17,0.421,complements
CSS,MySQL,0.17,0.21,complements
Bash,Docker,0.17,0.234,complements
Deep Learning,NumPy,0.17,0.19,complements
Bash,DevOps,0.17,0.401,complements
GitHub,Jira,0.17,0.396,complements
PostgreSQL,SQL,0.17,0.722,complements
Data Governance,Tableau,0.17,0.165,complements
MySQL,SQL,0.169,0.722,complements
Hive,Java,0.169,0.241,complements
MATLAB,Python,0.169,0.392,complements
Airflow,Python,0.169,0.453,complements
Firewalls,Windows,0.169,0.293,complements
Angular,Kubernetes,0.168,0.141,complements
Firewalls,VMware,0.168,0.137,complements
Excel,SQL,0.168,0.275,complements
Oracle,PostgreSQL,0.168,0.64,complements
Airflow,ETL,0.168,0.276,complements
C,Linux,0.168,0.507,complements
Azure,Jenkins,0.168,0.354,complements
Next.js,React,0.168,0.53,complements
Looker,dbt,0.167,0.387,complements
DevOps,GCP,0.167,0.275,complements
Java,Oracle,0.167,0.443,complements
GitLab,Python,0.167,0.29,complements
Data Modeling,Python,0.167,0.367,complements
Git,MongoDB,0.167,0.295,complements
Data Governance,ETL,0.167,0.335,complements
Big Data,Cassandra,0.167,0.363,complements
NLP,Python,0.167,0.164,complements
Jenkins,Prometheus,0.166,0.25,complements
Go,Rust,0.166,0.654,complements
HTML,PostgreSQL,0.166,0.267,complements
Power BI,Python,0.166,0.414,complements
Ansible,Go,0.166,0.433,complements
Incident Response,Splunk,0.165,0.353,complements
Figma,HTML,0.165,0.264,complements
HTML,Python,0.165,0.318,complements
C++,Git,0.165,0.377,complements
LLMs / GenAI,Prompt Engineering,0.165,0.387,complements
CISSP,Firewalls,0.165,0.315,complements
Microservices,Scala,0.164,0.331,complements
Node.js,PostgreSQL,0.164,0.2,complements
SQL,SSIS,0.164,0.404,complements
CI/CD,GCP,0.164,0.196,complements
PostgreSQL,Python,0.164,0.363,complements
C#,Java,0.164,0.726,complements
Java,Jira,0.163,0.359,complements
Data Pipeline,SQL,0.163,0.32,complements
Elasticsearch,Grafana,0.163,0.392,complements
Distributed Systems,Microservices,0.163,0.43,complements
Confluence,Jenkins,0.163,0.28,complements
Statistical Analysis,Tableau,0.163,0.264,complements
ETL,Spark,0.163,0.216,complements
CI/CD,PostgreSQL,0.162,0.158,complements
Git,Microservices,0.162,0.301,complements
Azure,Snowflake,0.162,0.433,complements
CISSP,Penetration Testing,0.162,0.218,complements
Azure,Data Warehousing,0.162,0.203,complements
Grafana,Kubernetes,0.162,0.236,complements
Deep Learning,LLMs / GenAI,0.162,0.274,complements
Elasticsearch,Kafka,0.161,0.426,complements
C#,Unit Testing,0.161,0.304,complements
JSON,jQuery,0.161,0.267,complements
Databricks,NumPy,0.161,0.234,complements
Distributed Systems,Java,0.161,0.378,complements
.NET,Angular,0.161,0.438,complements
Docker,MongoDB,0.161,0.095,complements
Java,PostgreSQL,0.161,0.343,complements
Hive,Machine Learning,0.16,0.206,complements
Angular,CI/CD,0.16,0.216,complements
Angular,MongoDB,0.16,0.314,complements
HTML,MongoDB,0.16,0.312,complements
Git,Unit Testing,0.16,0.376,complements
LLMs / GenAI,TensorFlow,0.16,0.253,complements
AWS,Big Data,0.16,0.376,complements
ETL,Tableau,0.16,0.23,complements
Kafka,Spring,0.16,0.196,complements
DevOps,REST API,0.16,0.196,complements
GitHub,React,0.159,0.164,complements
React,SQL,0.159,0.226,complements
Airflow,Hadoop,0.159,0.347,complements
CI/CD,Node.js,0.158,0.292,complements
CI/CD,Go,0.158,0.369,complements
Docker,Prometheus,0.158,0.169,complements
JavaScript,Jenkins,0.158,0.36,complements
Java,XML,0.158,0.466,complements
Data Visualization,ETL,0.158,0.29,complements
AWS,Jira,0.158,0.188,complements
Pandas,Python,0.158,0.374,complements
Data Analysis,SAS,0.157,0.261,complements
Datadog,Terraform,0.157,0.284,complements
Agile / Scrum,Spark,0.157,0.159,complements
Jenkins,SQL,0.157,0.145,complements
C++,Deep Learning,0.157,0.095,complements
AWS,Ansible,0.157,0.456,complements
Spark,TensorFlow,0.157,0.208,complements
GCP,Terraform,0.157,0.54,complements
.NET,HTML,0.156,0.326,complements
MongoDB,Redis,0.156,0.486,complements
Data Modeling,Spark,0.156,0.241,complements
Unix,Windows,0.156,0.617,complements
Data Pipeline,Redshift,0.156,0.384,complements
Azure,React,0.156,0.097,complements
Power BI,SSIS,0.156,0.448,complements
GCP,HTML,0.156,0.227,complements
Kubernetes,Ruby,0.156,0.193,complements
Git,MySQL,0.155,0.251,complements
Java,Unix,0.155,0.274,complements
Hive,SQL,0.155,0.547,complements
Microservices,PostgreSQL,0.155,0.153,complements
Databricks,Pandas,0.155,0.262,complements
Databricks,Python,0.155,0.325,complements
Data Governance,Data Pipeline,0.155,0.279,complements
PostgreSQL,REST API,0.154,0.227,complements
GCP,Kafka,0.154,0.347,complements
Hive,Redis,0.154,0.45,complements
Python,Windows,0.154,0.341,complements
DevOps,GitLab,0.154,0.39,complements
Big Data,Data Governance,0.154,0.336,complements
Java,Redshift,0.154,0.29,complements
Jenkins,Spring Boot,0.154,0.451,complements
Active Directory,Firewalls,0.154,0.355,complements
Angular,NoSQL,0.154,0.16,complements
Microservices,MySQL,0.153,0.153,complements
MongoDB,REST API,0.153,0.331,complements
Kubernetes,REST API,0.153,0.2,complements
CISSP,SIEM,0.153,0.364,complements
NLP,NumPy,0.153,0.158,complements
Datadog,Splunk,0.153,0.412,complements
Ansible,Grafana,0.153,0.345,complements
Agile / Scrum,C++,0.152,0.141,complements
Jira,Linux,0.152,0.254,complements
Data Visualization,SAS,0.152,0.29,complements
Distributed Systems,Docker,0.152,0.29,complements
Airflow,Helm,0.152,0.229,complements
ClickHouse,Flink,0.152,0.314,complements
Azure,Hadoop,0.152,0.43,complements
ArgoCD,Helm,0.151,0.788,substitutes
Big Data,Data Modeling,0.151,0.379,complements
Kubernetes,MongoDB,0.151,0.154,complements
Airflow,Hive,0.151,0.332,complements
Azure,Kafka,0.151,0.347,complements
JavaScript,Spring,0.151,0.436,complements
AWS,MongoDB,0.151,0.334,complements
Git,Node.js,0.15,0.278,complements
Data Governance,Spark,0.15,0.169,complements
Jupyter,Machine Learning,0.15,0.174,complements
Jira,Python,0.15,0.282,complements
Confluence,Kanban,0.15,0.364,complements
CI/CD,Spring,0.15,0.338,complements
Airflow,Scala,0.15,0.32,complements
Snowflake,Tableau,0.15,0.434,complements
Linux,Terraform,0.15,0.401,complements
PostgreSQL,TypeScript,0.15,0.262,complements
REST API,jQuery,0.15,0.496,complements
Incident Response,Risk Management,0.15,0.43,complements
Microservices,MongoDB,0.15,0.268,complements
PyTorch,Spark,0.149,0.208,complements
Microservices,Unit Testing,0.149,0.107,complements
Machine Learning,Statistical Analysis,0.149,0.488,complements
Docker,Ruby,0.149,0.236,complements
SQL,XML,0.149,0.496,complements
OWASP,Penetration Testing,0.149,0.325,complements
Java,Snowflake,0.149,0.286,complements
Docker,MySQL,0.149,0.092,complements
MLflow,Machine Learning,0.149,0.41,complements
Redshift,SQL,0.148,0.443,complements
Big Data,Data Visualization,0.148,0.224,complements
Agile / Scrum,Spring,0.148,0.093,complements
Go,React,0.148,0.383,complements
Agile / Scrum,Kafka,0.148,0.133,complements
CI/CD,Prometheus,0.148,0.174,complements
Azure,VMware,0.147,0.546,complements
GitLab,Splunk,0.147,0.214,complements
Azure,Power BI,0.147,0.233,complements
PHP,Ruby,0.147,0.595,complements
Linux,SQL,0.147,0.188,complements
C++,Rust,0.147,0.799,substitutes
DevOps,Unit Testing,0.146,0.383,complements
DevOps,Ruby,0.146,0.346,complements
Java,Ruby,0.146,0.526,complements
Jenkins,Microservices,0.146,0.459,complements
Big Data,Data Analysis,0.146,0.413,complements
CI/CD,Linux,0.146,0.303,complements
Node.js,Redis,0.146,0.287,complements
Data Governance,Snowflake,0.146,0.334,complements
Git,JSON,0.145,0.354,complements
Django,PostgreSQL,0.145,0.226,complements
GCP,Git,0.145,0.27,complements
Metabase,dbt,0.145,0.442,complements
Hadoop,MongoDB,0.145,0.406,complements
Angular,DevOps,0.145,0.228,complements
Oracle,Spring,0.145,0.253,complements
MongoDB,SQL,0.145,0.48,complements
R,Spark,0.145,0.305,complements
Data Warehousing,MySQL,0.145,0.258,complements
HTML,Unit Testing,0.145,0.273,complements
Git,GitHub,0.145,0.521,complements
Cybersecurity,Firewalls,0.145,0.504,complements
.NET,DevOps,0.145,0.459,complements
ETL,Python,0.145,0.353,complements
Cassandra,Elasticsearch,0.145,0.433,complements
GitHub,Terraform,0.144,0.403,complements
GCP,TensorFlow,0.144,0.083,complements
CI/CD,TypeScript,0.144,0.242,complements
Cybersecurity,Windows,0.144,0.344,complements
Big Data,ETL,0.144,0.437,complements
React,Unit Testing,0.144,0.147,complements
Cassandra,PostgreSQL,0.144,0.304,complements
Git,Spring,0.144,0.26,complements
React,Spring,0.143,0.334,complements
MuleSoft,Salesforce,0.143,0.396,complements
Docker,Helm,0.143,0.488,complements
C#,REST API,0.143,0.371,complements
CI/CD,NoSQL,0.143,0.072,complements
Machine Learning,Redshift,0.143,0.15,complements
Python,React,0.143,0.296,complements
AWS,DynamoDB,0.143,0.433,complements
Cassandra,Kubernetes,0.142,0.248,complements
AWS Security,SIEM,0.142,0.28,complements
React,Redis,0.142,0.152,complements
Data Pipeline,Kafka,0.142,0.35,complements
Bash,Git,0.142,0.372,complements
GCP,Hive,0.142,0.301,complements
Machine Learning,Snowflake,0.142,0.162,complements
NoSQL,React,0.142,0.077,complements
CI/CD,Spring Boot,0.142,0.336,complements
Airflow,Data Modeling,0.141,0.271,complements
Oracle,XML,0.141,0.428,complements
CSS,PostgreSQL,0.141,0.21,complements
NumPy,Python,0.141,0.219,complements
Java,MongoDB,0.141,0.327,complements
SAS,SQL,0.141,0.249,complements
Deep Learning,Pandas,0.141,0.089,complements
Amplitude,Google Analytics,0.141,0.561,complements
Azure,Linux,0.14,0.474,complements
Data Analysis,ETL,0.14,0.39,complements
C#,Python,0.14,0.534,complements
AWS,Redis,0.14,0.4,complements
ClickHouse,Rust,0.14,0.207,complements
.NET,jQuery,0.14,0.193,complements
Hive,Microservices,0.14,0.143,complements
Python,Unix,0.14,0.259,complements
Ansible,Splunk,0.14,0.259,complements
Datadog,Prometheus,0.14,0.483,complements
Airflow,SQL,0.139,0.215,complements
Redis,Terraform,0.139,0.324,complements
DevOps,NoSQL,0.139,0.125,complements
Data Pipeline,ETL,0.139,0.573,complements
Databricks,SQL,0.139,0.229,complements
CI/CD,Jira,0.138,0.452,complements
C#,React,0.138,0.3,complements
Kafka,Terraform,0.138,0.211,complements
Jenkins,Splunk,0.138,0.25,complements
GCP,Jenkins,0.138,0.354,complements
Flink,Hadoop,0.138,0.574,complements
ArgoCD,Grafana,0.138,0.208,complements
Agile / Scrum,GitHub,0.138,0.186,complements
NLP,Pandas,0.138,0.145,complements
Docker,Jira,0.138,0.251,complements
CSS,XML,0.138,0.42,complements
Kubernetes,Spark,0.137,0.509,complements
Bash,CI/CD,0.137,0.383,complements
Git,PHP,0.137,0.374,complements
Python,REST API,0.137,0.289,complements
Hadoop,R,0.137,0.24,complements
Docker,Spring,0.137,0.433,complements
Data Analysis,Stakeholder Mgmt,0.137,0.105,complements
Figma,GraphQL,0.137,0.209,complements
TensorFlow,XGBoost,0.137,0.373,complements
Ansible,Git,0.137,0.411,complements
.NET,Azure,0.137,0.214,complements
NoSQL,REST API,0.137,0.202,complements
Docker,Grafana,0.137,0.187,complements
Linux,PowerShell,0.137,0.237,complements
Git,TypeScript,0.136,0.302,complements
SQL,Unix,0.136,0.16,complements
CSS,MongoDB,0.136,0.232,complements
Data Warehousing,Databricks,0.136,0.178,complements
Next.js,TypeScript,0.135,0.417,complements
GCP,MySQL,0.135,0.128,complements
AWS,Data Warehousing,0.134,0.203,complements
Elasticsearch,Prometheus,0.134,0.339,complements
Kubernetes,MySQL,0.134,0.049,complements
Grafana,Splunk,0.134,0.416,complements
Databricks,Machine Learning,0.133,0.237,complements
Angular,Unit Testing,0.133,0.154,complements
.NET,Git,0.133,0.318,complements
GCP,PostgreSQL,0.133,0.128,complements
C,Python,0.133,0.534,complements
GitHub,Python,0.133,0.221,complements
DevOps,React,0.133,0.213,complements
GCP,Snowflake,0.133,0.433,complements
Confluence,Docker,0.133,0.139,complements
Data Analysis,Data Pipeline,0.133,0.269,complements
C#,JSON,0.133,0.353,complements
Angular,Jenkins,0.133,0.217,complements
Data Visualization,Spark,0.133,0.174,complements
CSS,JSON,0.133,0.358,complements
Distributed Systems,TypeScript,0.133,0.203,complements
Agile / Scrum,Software Architecture,0.133,0.394,complements
Spark,Tableau,0.133,0.329,complements
C#,CI/CD,0.132,0.321,complements
Git,Spring Boot,0.132,0.243,complements
MongoDB,Spark,0.132,0.302,complements
CSS,GraphQL,0.132,0.249,complements
CSS,Unit Testing,0.132,0.198,complements
GitHub,TypeScript,0.132,0.233,complements
Hadoop,Tableau,0.132,0.192,complements
Git,NoSQL,0.132,0.161,complements
Cassandra,SQL,0.131,0.253,complements
Penetration Testing,Risk Management,0.131,0.365,complements
Azure,MySQL,0.131,0.128,complements
MongoDB,Python,0.131,0.353,complements
Azure,Big Data,0.131,0.376,complements
C#,Jira,0.131,0.315,complements
Data Warehousing,Informatica,0.131,0.427,complements
CSS,Docker,0.131,0.197,complements
Data Visualization,Hadoop,0.131,0.15,complements
Docker,Spring Boot,0.131,0.332,complements
Jira,Kubernetes,0.131,0.246,complements
A/B Testing,Data Analysis,0.131,0.293,complements
Agile / Scrum,JSON,0.131,0.103,complements
Agile / Scrum,MySQL,0.131,0.035,complements
Distributed Systems,GitHub,0.13,0.233,complements
Kafka,Machine Learning,0.13,0.148,complements
Data Pipeline,Data Visualization,0.13,0.271,complements
Git,Terraform,0.13,0.399,complements
.NET,CSS,0.13,0.333,complements
Hadoop,Redis,0.13,0.445,complements
Data Pipeline,Hive,0.129,0.352,complements
Azure,Data Pipeline,0.129,0.286,complements
Alteryx,Power BI,0.129,0.505,complements
Airflow,PostgreSQL,0.129,0.214,complements
SageMaker,XGBoost,0.129,0.32,complements
Splunk,Terraform,0.129,0.269,complements
Distributed Systems,Python,0.129,0.393,complements
JSON,Java,0.129,0.414,complements
Ansible,Azure,0.129,0.456,complements
GraphQL,Next.js,0.129,0.219,complements
Data Governance,Machine Learning,0.129,0.206,complements
Confluence,Java,0.129,0.323,complements
Docker,Spark,0.129,0.21,complements
A/B Testing,Power BI,0.129,0.187,complements
MongoDB,PHP,0.129,0.334,complements
Cassandra,GCP,0.129,0.389,complements
Cassandra,Docker,0.128,0.002,complements
Data Modeling,R,0.128,0.193,complements
AWS,Data Pipeline,0.128,0.286,complements
Azure,Firewalls,0.128,0.132,complements
PHP,PostgreSQL,0.128,0.315,complements
DevOps,Prometheus,0.128,0.232,complements
Confluence,Linux,0.128,0.264,complements
Django,Python,0.128,0.395,complements
Microservices,Redis,0.128,0.295,complements
Docker,DynamoDB,0.128,0.094,complements
LangChain,Prompt Engineering,0.128,0.577,complements
Angular,JSON,0.128,0.244,complements
GCP,PyTorch,0.128,0.083,complements
Data Modeling,Machine Learning,0.128,0.504,complements
Jenkins,NoSQL,0.127,0.111,complements
C++,Docker,0.127,0.306,complements
DevOps,HTML,0.127,0.142,complements
GCP,React,0.127,0.097,complements
Spring,jQuery,0.127,0.197,complements
MLflow,PyTorch,0.127,0.272,complements
CI/CD,DynamoDB,0.127,0.095,complements
Confluence,Python,0.127,0.335,complements
C++,PyTorch,0.127,0.146,complements
Cassandra,Terraform,0.127,0.16,complements
Jenkins,Ruby,0.127,0.308,complements
Grafana,Jenkins,0.126,0.311,complements
Jenkins,Unix,0.126,0.224,complements
AWS,Airflow,0.126,0.2,complements
BigQuery,Redshift,0.126,0.973,substitutes
NLP,Spark,0.126,0.151,complements
Looker,Metabase,0.126,0.812,substitutes
Azure,CSS,0.126,0.203,complements
Power BI,Snowflake,0.126,0.49,complements
React,jQuery,0.125,0.646,complements
Data Modeling,Hadoop,0.125,0.309,complements
AWS,Bash,0.125,0.254,complements
Azure,Data Modeling,0.125,0.226,complements
Jenkins,Unit Testing,0.125,0.252,complements
Google Analytics,Mixpanel,0.125,0.506,complements
Docker,Machine Learning,0.125,0.057,complements
Kubernetes,Spring Boot,0.125,0.439,complements
Data Governance,Hadoop,0.125,0.177,complements
Agile / Scrum,PostgreSQL,0.125,0.035,complements
GitHub,GitLab,0.125,0.774,substitutes
Agile / Scrum,Big Data,0.125,0.074,complements
Go,Redis,0.124,0.367,complements
CI/CD,MongoDB,0.124,0.082,complements
Spring,Unit Testing,0.124,0.217,complements
Elasticsearch,PostgreSQL,0.124,0.39,complements
Agile / Scrum,Kotlin,0.124,0.178,complements
PHP,jQuery,0.124,0.452,complements
Cassandra,DynamoDB,0.124,0.645,complements
Data Warehousing,Java,0.123,0.258,complements
.NET,REST API,0.123,0.276,complements
Databricks,Scala,0.123,0.393,complements
Angular,MySQL,0.123,0.22,complements
Agile / Scrum,XML,0.123,0.119,complements
AWS,Ruby,0.123,0.217,complements
LangChain,NLP,0.123,0.251,complements
AWS,Unix,0.123,0.29,complements
C++,Software Architecture,0.123,0.381,complements
DevOps,Machine Learning,0.123,0.258,complements
Airflow,Data Warehousing,0.123,0.23,complements
Databricks,Power BI,0.123,0.254,complements
DevOps,Kanban,0.123,0.436,complements
CI/CD,Grafana,0.123,0.249,complements
Kubernetes,Spring,0.123,0.258,complements
Docker,Elasticsearch,0.123,0.072,complements
Airflow,Kubernetes,0.123,0.445,complements
Agile / Scrum,Hadoop,0.123,0.147,complements
Git,GitLab,0.122,0.448,complements
C++,TensorFlow,0.122,0.146,complements
.NET,Agile / Scrum,0.122,0.327,complements
Azure,PostgreSQL,0.122,0.128,complements
MySQL,Node.js,0.122,0.2,complements
Distributed Systems,Rust,0.122,0.399,complements
DevOps,Windows,0.122,0.385,complements
GCP,Redshift,0.122,0.421,complements
Data Modeling,Databricks,0.122,0.258,complements
TensorFlow,scikit-learn,0.122,0.42,complements
Data Modeling,Informatica,0.122,0.378,complements
Firewalls,Incident Response,0.122,0.208,complements
Jupyter,NLP,0.122,0.164,complements
SIEM,Splunk,0.122,0.613,complements
Agile / Scrum,GraphQL,0.122,0.027,complements
AWS,CSS,0.122,0.203,complements
BigQuery,dbt,0.122,0.565,complements
Azure,MongoDB,0.122,0.334,complements
JavaScript,Jira,0.122,0.314,complements
AWS,Spring Boot,0.122,0.365,complements
NLP,R,0.122,0.219,complements
Hive,MongoDB,0.122,0.488,complements
DynamoDB,MySQL,0.121,0.489,complements
Hadoop,Kubernetes,0.121,0.346,complements
Machine Learning,Power BI,0.121,0.284,complements
SAS,Statistical Analysis,0.121,0.295,complements
DynamoDB,Kubernetes,0.121,0.181,complements
Helm,Kafka,0.121,0.239,complements
NoSQL,PostgreSQL,0.121,0.389,complements
